Author,CanonicalLink,Description,ISBN,ISBN Valid,ImageLink,Language,PublishedDate,Publisher,Subjects,Title,google_api_title,i
"Kohler, Charles",https://books.google.com/books/about/Les_Suisses_Dans_Les_Guerres_D_italie_De.html?hl=&id=Y9SFzwEACAAJ,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work is in the ""public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",101636928X,,http://books.google.com/books/content?id=Y9SFzwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fr,2022-10-27,A Picard; Georg; J Jullien,Suisse--guerres d'Italie,Les Suisses dans les guerres d'Italie de 1506 à 1512 /,Les Suisses dans les guerres d'Italie de 1506 à 1512,13170
"Polybius, Megalopolitanus",https://play.google.com/store/books/details?id=cPF8EAAAQBAJ,"Winzig, le lutin de la forêt, et sa femme Wanda vivent dans une coquille d'escargot. Dans la forêt d'ail des ours, ils échappent à la dangereuse attaque d'un geai des chênes. Sur un coucou, ils voguent dans les airs. Dans un tunnel de terre, ils rencontrent un grillon de taupe. Ils voyagent dans des villes naines lointaines pour rendre visite à leurs petits-enfants et ... apprennent même le langage des fourmis. Sept joyeuses histoires pour s'endormir (à partir de 5 ans)",9783754193563,,http://books.google.com/books/content?id=cPF8EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,de,2022-06-07,Les Belles Lettres,Juvenile Nonfiction,Histoires /,Histoires,13175
"Ruckstuhl, Lotti",https://books.google.com/books/about/Vers_la_majorit%C3%A9_politique.html?hl=&id=n4MnAQAAMAAJ,"Analyse: Avec une notice sur Annie Leuch-Reineck (présidente centrale de l'Association suisse pour les droits de la femme, 1928-1940, Lausanne) et Gertrude Girard-Montet (présidente centrale de 1968-1977, La Tour-de-Peilz). Plusieurs pages sont consacrées au canton de Vaud qui fut le premier à introduire le suffrage intégral en matière cantonale (1er février 1959).",,,http://books.google.com/books/content?id=n4MnAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fr,1990,Interfeminas; Association suisse pour les droits de la femme,droit de vote--femme--Suisse--1909 / 1990; Femmes--Droit de vote--Histoire--Suisse,Vers la majorité politique : histoire du suffrage féminin en Suisse /,Vers la majorité politique,13191
"Sarraute, Nathalie",https://play.google.com/store/books/details?id=fTlJDQAAQBAJ,"""Soudain il s'interrompt, il lève la main, l'index dressé, il tend l'oreille... Vous les entendez ?... Un attendrissement mélancolique amollit ses traits... Ils sont gais, hein ? Ils s'amusent... Que voulez-vous, c'est de leur âge... Nous aussi, on avait de ces fous rires... il n'y avait pas moyen de s'arrêter... - Oui, c'est vrai... Il sent comme ses lèvres à lui aussi s'étirent, un sourire bonhomme plisse ses joues, donne à sa bouche un aspect édenté... c'est bien vrai, nous étions comme eux... Il ne faut pas grand-chose, n'est-ce pas ? pour les faire rire... Oui, ils sont gais... Tous deux la tête levée écoutent... Oui, des rires jeunes. Des rires frais. Des rires insouciants. Des rires argentins. Clochettes. Gouttelettes. Jets d'eau. Cascades légères. Gazouillis d'oiselets... ils s'ébrouent, ils s'ébattent... Aussitôt restés entre eux ils nous ont oubliés.""",9782072676680,,http://books.google.com/books/content?id=fTlJDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fr,2016-11-01T00:00:00+01:00,Gallimard,Fiction,Vous les entendez ? : roman /,Vous les entendez ?,13198
"Schurter, Emil",https://books.google.com/books/about/Das_zivilprozessrecht_der_Schweiz_heraus.html?hl=&id=A05XAAAAMAAJ,,,,http://books.google.com/books/content?id=A05XAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,de,1933,Rascher,procédure civile--Suisse--[manuel]; droit cantonal--procédure civile--Suisse--[manuel],Das Zivilprozessrecht der Schweiz /,Das Zivilprozessrecht der Schweiz,13223
"Lithberg, Nils",https://books.google.com/books/about/Schloss_Hallwil.html?hl=&id=WttQMwEACAAJ,,,,,de,1991,A-B Gunnar,,Schloss Hallwil.,Schloss Hallwil.,13229
"Martin, René",https://books.google.com/books/about/Les_Genres_litt%C3%A9raires_%C3%A0_Rome.html?hl=&id=FJJF0QEACAAJ,,2852371189,,,fr,1981,Scodel,genre littéraire--littérature latine; littérature latine--[manuel],Les genres littéraires à Rome /,Les genres littéraires à Rome,13230
"Wolfgang Stammler, Karl Langosch, Kurt Ruh, Burghart Wachinger, Christine Stöllinger-Löser",https://books.google.com/books/about/Die_deutsche_Literatur_des_Mittelalters.html?hl=&id=Sx8IO93ovsQC,"With some 5000 articles, the 'Lexicon of Authors' presents the whole of medieval German literature. The work carries on from the first edition (1933-1955); it is, however, broader in scope and has been completely reworked by international scholars to represent (and often to establish) the present state of research. The dictionary contains all known authors writing in German, many authors writing in Latin, and prominent anonymous works.",3110072645,,http://books.google.com/books/content?id=Sx8IO93ovsQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,de,1978,W de Gruyter,littérature allemande--époque Alt- und mittelhochdeutsch--[dictionnaire],Die deutsche Literatur des Mittelalters : Verfasserlexikon /,Die deutsche Literatur des Mittelalters,13241
"Dubuis, Pierre, historien",https://books.google.com/books/about/Une_%C3%A9conomie_alpine_%C3%A0_la_fin_du_Moyen.html?hl=&id=Zel2tAEACAAJ,,,,,fr,1990,Vallesia - Archives cantonales,"Montagnes--Aspect économique--Orsières (Suisse, région, VS)--Moyen âge; Montagnes--Aspect économique--Entremont (Suisse, vallée, VS)--Moyen âge; économie de montagne--Entremont (Suisse, vallée, VS)--1250 / 1500; économie de montagne--Orsières (Suisse, VS)--1250 / 1500","Une économie alpine à la fin du Moyen Age : Orsières, l'Entremont et les régions voisines, 1250-1500 /",Une économie alpine à la fin du Moyen Age,13251
"Epstein, Jean, 1897-1953",https://books.google.com/books/about/La_vision_partielle.html?hl=&id=p9KKCwAAQBAJ,"L’ensemble de ces textes témoigne d’un parcours, d’une trajectoire d’une quinzaine d’années qui n’est pas seulement celle de l’auteur, mais aussi celle de la revue où ils ont été écrits, les Cahiers du Cinéma, depuis la rigidité théorique et idéologique du début des années 1970 jusqu’au post-modernisme des années 1980. On y suivra l’inflexion d’une pensée, d’une écriture, des goûts et des engouements qui définissent une époque — voire plusieurs. (P.B.)Après des études de philosophie, Pascal Bonitzer entre en 1969 aux Cahiers du cinéma, où il écrit jusqu’au milieu des années 1980. Parallèlement il devient scénariste et collabore à de nombreuses reprises avec Jacques Rivette, André Téchiné ou encore Raoul Ruiz. Encore, son premier long métrage, obtient le Prix Jean-Vigo en 1996. En 2016 sort son septième film : Tout de suite maintenant.",9791023901139,,http://books.google.com/books/content?id=p9KKCwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fr,2016-02-12T00:00:00+01:00,Seghers,cinéma--1921 / 1953; ESSAI; THEORIE,Ecrits sur le cinéma : 1921-1953 /,Ecrits sur le cinéma,13275
"Tacitus, Publius Cornelius",https://books.google.com/books/about/Erz%C3%A4hlte_Geschichte.html?hl=&id=kysHyNzvqk8C,"Die Studie weitet die Perspektive der Narratologie (Erzähltheorie) auf Gegenstand und Methode der Geschichtsschreibung, insbesondere auf die berühmte französische Annales-Schule, aus. Es geht dabei um die Frage, wie Geschichtsschreibung selbst narrativ Geschichte 'schafft?, und ob es angesichts der narrativen Verfasstheit jeder Historiographie überhaupt einen Fortschritt in der historischen Erkenntnis geben kann. Rüth entfaltet nicht nur die theoretischen Hintergründe und Diskurse seiner Fragestellung, sondern untersucht anhand von Texten der Annales-Schule (Duby, Le Goff, Le Roy, Natalie Z. Davis) detailliert das narrative Moment in der Geschichtsschreibung.",3110183692,,http://books.google.com/books/content?id=kysHyNzvqk8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,de,2005,Les Belles lettres,Language Arts & Disciplines,Annales /,Annales,13278
"Tacitus, Publius Cornelius",https://play.google.com/store/books/details?id=cPF8EAAAQBAJ,"Winzig, le lutin de la forêt, et sa femme Wanda vivent dans une coquille d'escargot. Dans la forêt d'ail des ours, ils échappent à la dangereuse attaque d'un geai des chênes. Sur un coucou, ils voguent dans les airs. Dans un tunnel de terre, ils rencontrent un grillon de taupe. Ils voyagent dans des villes naines lointaines pour rendre visite à leurs petits-enfants et ... apprennent même le langage des fourmis. Sept joyeuses histoires pour s'endormir (à partir de 5 ans)",9783754193563,,http://books.google.com/books/content?id=cPF8EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,de,2022-06-07,Les Belles Lettres,Juvenile Nonfiction,Histoires /,Histoires,13279
"Sutherland, Carol Humphrey Vivian",https://play.google.com/store/books/details?id=ZpOXHq5YxXkC,,,,http://books.google.com/books/content?id=ZpOXHq5YxXkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fr,1879,P Attinger; Office du livre,monnaies romaines antiques--[manuel],Monnaies romaines /,Monnaies romaines,13280
"Ayer, Alfred Jules",https://books.google.com/books/about/Langage_v%C3%A9rit%C3%A9_et_logique.html?hl=&id=j1c7uwEACAAJ,,,,,fr,1993,Flammarion,langage--vérité--* philosophie du langage,"Langage, vérité et logique /","Langage, vérité et logique",13283
"Damon, Julien",https://books.google.com/books/about/Vagabondage_et_mendicit%C3%A9.html?hl=&id=jrZ7DwAAQBAJ,"Après des siècles de vaines tentatives d’éradication de la mendicité et du vagabondage, une conscience sociale s’est aujourd’hui développée, transformant les regards portés sur la pauvreté Mais selon Julien Damon, responsable de la mission solidarité à la SNCF, les actions des pouvoirs publics, oscillant entre la répression et l’assistance, continuent à se renvoyer les populations et les responsabilités, sans qu’émerge encore la capacité de traiter collectivement les problèmes posés localement.",9782403028270,,http://books.google.com/books/content?id=jrZ7DwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fr,1998-01-01T00:00:00+01:00,Flammarion,mendicité--vagabondage--France--Moyen-Âge / 20e s.; exclusion sociale--mendicité--politique sociale--France--Moyen-Âge / 20e s.; exclusion sociale--politique sociale--vagabondage--France--Moyen-Âge / 20e s.,Vagabondage et mendicité /,Vagabondage et mendicité,13292
"Alexandra Perrault, Caroline Giraux",https://books.google.com/books/about/OT_hope.html?hl=&id=232Q0AEACAAJ,,,,,fr,2020,,Ergothérapie,[OT'hope],[OT'hope],13316
Pausanias,https://books.google.com/books/about/Description_de_la_Gr%C3%A8ce_L_elide_I.html?hl=&id=PrlYzgEACAAJ,,,,,fr,1992,Les Belles Lettres,Greece,Description de la Grèce. l'Elide (I) /,Description de la Grèce. l'Elide (I),13368
Schweizerische Gesellschaft für Statistik und Volkswirtschaft,https://books.google.com/books/about/Handbuch_der_schweizerischen_Volkswirtsc.html?hl=&id=LSbRAAAAMAAJ,,,,http://books.google.com/books/content?id=LSbRAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,de,1955,Verlag Benteli,économie--Suisse; Nationalökonomie; Schweiz,Handbuch der Schweizerischen Volkswirtschaft /,Handbuch der Schweizerischen Volkswirtschaft,13393
Schweizerische Gesellschaft für Statistik und Volkswirtschaft,https://books.google.com/books/about/Handbuch_der_schweizerischen_Volkswirtsc.html?hl=&id=LSbRAAAAMAAJ,,,,http://books.google.com/books/content?id=LSbRAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,de,1955,Benteli-Verlag,Économie politique--Suisse; économie--Suisse--[manuel]; Nationalökonomie; Wirtschaft; Soziologie; Politik; Schweiz; Guides pratiques,Handbuch der Schweizerischen Volkswirtschaft /,Handbuch der Schweizerischen Volkswirtschaft,13394
"Delphine Bachelier, Florence Roger-Kosiorowski, Didier Roch",https://play.google.com/store/books/details?id=pRmGDwAAQBAJ,"La NEPSY-II est la seule batterie proposant une évaluation sur mesure des compétences de l’enfant et de l ’adolescent dans 6 grands domaines neuropsychologiques..Les résultats renseignent sur les troubles typiques de l’enfance et de l’adolescence. Ils permettent de poser un diagnostic précis et de mettre en place une prise en charge adaptée. Ce livre vise à accompagner les professionnels utilisant la NEPSY-II dans leur découverte de l’outil. L’objectif est de présenter les modèles théoriques sur lesquels le test est construit, de décrire les contextes de son utilisation avec une approche pluridisciplinaire, la structure de la batterie, les principes d’administration, de cotation et d’interprétation. Des vignettes et cas cliniques illustrent l’ouvrage. Il est écrit par une psychologue, un orthophoniste et une psychomotricienne afin que tous les professionnels concernés y trouvent l’expertise qu’ils recherchent selon leur domaine de compétence.",9782100792191,,http://books.google.com/books/content?id=pRmGDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fr,2019-02-06,,Ergothérapie,[NEPSY II] [Bilan neuropsychlogique de l'enfant ; seconde édition],[NEPSY II] [Bilan neuropsychlogique de l'enfant ; seconde édition],13410
"Buol, Martina",https://books.google.com/books/about/Beschr%C3%A4nkung_der_Vertragshaftung_durch.html?hl=&id=oxacAAAACAAJ,,3725534802,,,de,1996,Schulthess Polygraphischer Verl,responsabilité contractuelle - limitation--Suisse,Beschränkung der Vertragshaftung durch Vereinbarung /,Beschränkung der Vertragshaftung durch Vereinbarung,13442
"Lörtscher, Thomas",https://books.google.com/books/about/Vertragliche_Haftungsbeschr%C3%A4nkungen_im.html?hl=&id=mbJ9QgAACAAJ,,3725518424,,,de,1977,Schulthess Polygraphischer Verlag,Kauf; allgemeine Vertragsbedingungen; Wegbedingung der Haftung; Schweiz,Vertragliche Haftungsbeschränkungen im schweizerischen Kaufrecht : unter besonderer Darstellung von Haftungsbeschränkungsklauseln in allgemeinen Geschäftsbedingungen /,Vertragliche Haftungsbeschränkungen im schweizerischen Kaufrecht,13443
"Haussonville, Gabriel-Paul-Othenin d', 1843-1924",https://books.google.com/books/about/Le_salon_de_Madame_Necker_D_apr%C3%A8s_des_d.html?hl=&id=j0OVnQEACAAJ,,,,,fr,1882,,,Le salon de Madame Necker d'après des documents tirés des archives de Coppet /,Le salon de Madame Necker d'après des documents tirés des archives de Coppet,13449
"Martinola, Giuseppe",https://books.google.com/books/about/Inventario_delle_cose_d_arte_e_di_antich.html?hl=&id=ZDquAQAACAAJ,,,,,it,1975,Arti grafiche; Ed dello Stato,"art suisse tessinois--Mendrisiotto (Suisse, TI); monument historique--Mendrisiotto (Suisse, TI); église (bâtiment)--Mendrisiotto (Suisse, TI); monument historique--Mendrisio (Suisse, district, TI)",Inventario delle cose d'arte di Antichità del distretto di Mendrisio /,Inventario delle cose d'arte di Antichità del distretto di Mendrisio,13466
"Bhāskarācārya, François Patte",https://books.google.com/books/about/%E0%A4%B8%E0%A4%BF%E0%A4%A6%E0%A5%8D%E0%A4%A7%E0%A4%BE%E0%A4%A8%E0%A5%8D%E0%A4%A4%E0%A4%B6%E0%A4%BF%E0%A4%B0%E0%A5%8B.html?hl=&id=YAVip6Lc7e4C,,2600008950,,http://books.google.com/books/content?id=YAVip6Lc7e4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fr,2004,Office romand des éditions et du matériel scolaires,Hindu astronomy,Mathématique : quatrième année /,Mathématique,13472
"Bhāskarācārya, François Patte",https://books.google.com/books/about/%E0%A4%B8%E0%A4%BF%E0%A4%A6%E0%A5%8D%E0%A4%A7%E0%A4%BE%E0%A4%A8%E0%A5%8D%E0%A4%A4%E0%A4%B6%E0%A4%BF%E0%A4%B0%E0%A5%8B.html?hl=&id=YAVip6Lc7e4C,,2600008950,,http://books.google.com/books/content?id=YAVip6Lc7e4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fr,2004,Office romand des éditions et du matériel scolaires,Hindu astronomy,Mathématique : première année /,Mathématique,13473
,https://books.google.com/books/about/Planification_math%C3%A9matique_deuxi%C3%A8me_an.html?hl=&id=U8_JjwEACAAJ,,2921099012,,,fr,1989,Office romand des services cantonaux des éd et du matériel scolaire,mathématiques--[manuel],"Mathématique, deuxième année.","Mathématique, deuxième année.",13474
"Ferrario, Mario",https://books.google.com/books/about/%E0%A4%B8%E0%A4%BF%E0%A4%A6%E0%A5%8D%E0%A4%A7%E0%A4%BE%E0%A4%A8%E0%A5%8D%E0%A4%A4%E0%A4%B6%E0%A4%BF%E0%A4%B0%E0%A5%8B.html?hl=&id=YAVip6Lc7e4C,,2600008950,,http://books.google.com/books/content?id=YAVip6Lc7e4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fr,2004,Office romand des éditions et du matériel scolaires,Hindu astronomy,Mathématique : quatrième année : méthodologie-commentaires /,Mathématique,13475
"Michel Chastellain, François Jaquet, Yvan Michlig",https://books.google.com/books/about/Math%C3%A9matique.html?hl=&id=PYWuAAAACAAJ,,2607000149,,,fr,1984,Office romand des éditions et du matériel scolaires,,"Mathématique, cinquième année /","Mathématique, cinquième année",13476
,https://books.google.com/books/about/Cadre_d_%C3%A9laboration_de_l_%C3%A9preuve_de_sy.html?hl=&id=tTIRkAEACAAJ,,292109908X,,,fr,1988,Librairie de l'Etat de Berne,,"Mathématique, troisième année : méthodologie, commentaires /","Mathématique, troisième année",13477
,https://books.google.com/books/about/Cadre_d_%C3%A9laboration_de_l_%C3%A9preuve_de_sy.html?hl=&id=tTIRkAEACAAJ,,292109908X,,,fr,1988,Librairie de l'Etat de Berne,,"Mathématique, troisième année /","Mathématique, troisième année",13478
"Nikles, Floriane",https://books.google.com/books/about/Je_trottine_dans_ma_ville.html?hl=&id=EgP5swEACAAJ,,,,,fr,2012,F Nikles,"Promenade--Lausanne (Suisse, VD); promenade--Lausanne (Suisse, VD); Ouvrages pour la jeunesse",Je trottine dans ma ville : pour découvrir Lausanne pas à pas /,Je trottine dans ma ville,13486
"Haxthausen, August von",https://books.google.com/books/about/Gaza.html?hl=&id=SwhaAAAACAAJ,,3423341386,,http://books.google.com/books/content?id=SwhaAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,de,2004,Hahn,Russie,"Etudes sur la situation intérieure, la vie nationale et les institutions rurales de la Russie /","Etudes sur la situation intérieure, la vie nationale et les institutions rurales de la Russie",13493
"Iselin, Isaak, 1728-1782",https://books.google.com/books/about/Isaak_Iselins_Pariser_Tagebuch_1752.html?hl=&id=2z5x_m9GQZwC,,,,http://books.google.com/books/content?id=2z5x_m9GQZwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,de,1919,B Schwabe,"Iselin, Isaak--Paris (France)--1752--[chroniques]",Isaak Iselins Pariser Tagebuch 1752 /,Isaak Iselins Pariser Tagebuch 1752,13496
"Livanova, Tamara Nikolaevna",https://books.google.com/books/about/Russkai%EF%B8%A0a%EF%B8%A1_muzykal%CA%B9nai%EF%B8%A0a%EF%B8%A1_kul%CA%B9.html?hl=&id=kTAxAAAAIAAJ,,,,http://books.google.com/books/content?id=kTAxAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,ru,1952,Gosudarstvennoe muzykalʹnoe izd-vo,"Folk songs, Russian","Russkai︠a︡ muzykalʹnai︠a︡ kulʹtura XVIII veka v ee svi︠a︡zi︠a︡kh s literaturoĭ, teatrom i bytom : issledovanii︠a︡ i materialy /","Russkai︠a︡ muzykalʹnai︠a︡ kulʹtura XVIII veka v ee svi︠a︡zi︠a︡kh s literaturoĭ, teatrom i bytom",13506
"Mooser, Robert-Aloys, 1876-1969",https://books.google.com/books/about/L_op%C3%A9ra_comique_fran%C3%A7ais_en_Russie_au.html?hl=&id=GMdtMgAACAAJ,,,,,fr,1932,Union européenne d'éditions; Ed R Kister,opéra-comique français--Russie--18e s.,L'opéra-comique français en Russie au XVIIIe siècle : contribution à l'histoire de la musique russe /,L'opéra-comique français en Russie au XVIIIe siècle,13509
Homerus,https://books.google.com/books/about/Homers_Iliade_Vol_2_Classic_Reprint.html?hl=&id=m8t-swEACAAJ,"Excerpt from Homers Iliade, Vol. 2 Was ich bei der zweiten Auﬂage der Ilias versäumt, der zahlreichen Mittheilungen meines Freundes Ulrich Henker zu erwähnen, aus welchen jene in vielen Stellen berichtigt wurde, das fühle ich mich gedrungen jetzt nachzubringen und dem nun mehr Dahingeschiedenen einen dankbaren Nachruf dafür zu wied men. Auf die berichtigte Gestaltung dieser d ritten Auflage ha ben besonders die gründlichen Bemerkungen Einﬂuss gehabt, welche mir Hr. Prof. Friedr. Ra uch enstein auch über sämmt liche Bücher der Ilias mitgetheilt hat. Ausserdem gewährte mir die ausführliche Recension des Hrn. Prof. Ameis (jahn N. Jahrhb. Für Philol. U. Pädag. 73, 4. S. 201 - 228) vielfache Be lehrung, so wie insbesondere die vier Programme von Director Dr. J oh. Glas sen: Beobachtungen über den homerischen Sprachgebrauch. Frankf. A. M. 1854 - 1857. About the Publisher Forgotten Books publishes hundreds of thousands of rare and classic books. Find more at www.forgottenbooks.com This book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works.",0364303395,,http://books.google.com/books/content?id=m8t-swEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,de,2018-03-10,Les Belles lettres,Drama,Iliade /,Iliade,13530
"Racine, Jean, 1639-1699",https://play.google.com/store/books/details?id=2UDOQqCwYLYC,,,,http://books.google.com/books/content?id=2UDOQqCwYLYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fr,1828,Seuil,,Oeuvres complètes /,Oeuvres complètes,13558
"London, Jack, 1876-1916",https://books.google.com/books/about/Martin_Eden.html?hl=&id=Z43OEAAAQBAJ,"Martin Eden is a young, hard working man of the working class. After a chance encounter with a beautiful woman of the bourgeoisie, he finds himself in love. In order to win this woman’s approval he decides to educate himself: He corrects his speech, he learns proper manners, and he reads the classics of literature, philosophy, and science. Eventually they become engaged, and he decides to become a writer. But he’s continually flummoxed by the greedy and unintelligent editors who are incapable of understanding his work, and by a society that values money as the pinnacle of success. In Martin Eden, Jack London weaves in several details from his own life and experience as an early writer. However, unlike the titular character, a self-described “individualist” and “Nietzsche-man,” London was in reality a vocal socialist, and had intended Martin Eden to be an unflattering caricature of a man who seeks only self-improvement instead of class-improvement. Ironically this was unremarked upon in contemporary reviews. As he inscribed in a copy of the novel given to Upton Sinclair, “One of my motifs, in this book, was an attack on individualism. I must have bungled it, for not a single reviewer has discovered it.”",9791041802487,,http://books.google.com/books/content?id=Z43OEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,2023-06-07,Edito-Service,Fiction,Martin Eden /,Martin Eden,13570
"Hegel, Georg Wilhelm Friedrich, 1770-1831",https://play.google.com/store/books/details?id=qIxuDwAAQBAJ,"In seinen Vorlesungen über die Ästhetik hat Hegel einen der wichtigsten und wirkmächtigsten Beiträge zur Ästhetik und Philosophie der Kunst entwickelt. Von der systematischen Klärung der Idee des Schönen über die geschichtliche Unterscheidung der symbolischen, klassischen und romantischen Kunstform bis hin zur Darstellung der einzelnen Künste (Architektur, Skulptur, Malerei, Musik, Poesie) werden alle relevanten Aspekte entfaltet und miteinander vernetzt. Eindrucksvoll ist nicht nur Hegels plastischer Zugriff auf die Fülle konkreten Materials. Bedeutsam ist vor allem sein kulturphilosophischer Ansatz, der die Kunst auf dem Rang des „absoluten Geistes“ als zentrales Medium menschlicher Selbstverständigung begreift. Die vieldiskutierte These vom „Ende der Kunst"" in der Moderne hängt damit direkt zusammen. Hegel hat seine vier Berliner Ästhetik-Kollegien nicht selbst publiziert. Dieser Kommentarband orientiert sich an der Edition des Hegel-Schülers H.G. Hotho und zieht ergänzend die Nachschriften, insbes. des letzten Kollegs von 1828/29 hinzu. In dieser Form wird Hegels Ästhetik auf dem aktuellen Forschungsstand für ein breites philosophisches und kulturwissenschaftliches Interessenfeld erschlossen. Mit Beiträgen von B. Collenberg-Plotnikov, N. Hebing, G. Hindrichs, S. Houlgate, W. Jaeschke, R. Pippin, B. Sandkaulen, U. Seeberg, M. Seel, A. Speight u. J. Stolzenberg.",9783050087610,,http://books.google.com/books/content?id=qIxuDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,de,2018-07-23,Suhrkamp,Philosophy,Vorlesungen über die Ästhetik /,Vorlesungen über die Ästhetik,13598
"Plinius Caecilius Secundus, Caius",https://play.google.com/store/books/details?id=hFVCAAAAcAAJ,,,,http://books.google.com/books/content?id=hFVCAAAAcAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fr,1677,Les Belles Lettres,,Lettres /,Lettres,13616
"Suetonius Tranquillus, Caius",https://play.google.com/store/books/details?id=z1fVDwAAQBAJ,"Écrit vers 120 après J.-C., l’ouvrage est un recueil de biographies des douze premiers empereurs romains. Il comprend huit livres, dont les six premiers sont dédiés chacun à l’un des six empereurs de la «gens Julia Claudia»: César, Auguste, Tibère, Caligula, Claude, Néron. Le septième aux trois empereurs de l’année 69: Galba, Othon, Vitellius. Le dernier aux trois empereurs de la famille des Flaviens: Vespasien, Titus et Domitien. La vie de chaque empereur est exposée suivant une formule invariable: généalogie, naissance, événements antérieurs à la montée sur le trône, proclamation. Viennent ensuite des épisodes groupés de façon à mettre en lumière le souverain aussi bien que l’homme dans sa vie privée. Enfin la mort et les funérailles puis la suite immédiate des événements. Les sources principales de Suétone sont les lettres des empereurs, les «diurnalia», les actes officiels, les écrits de circonstance, les pamphlets satiriques et scandaleux de l’époque. En tant que secrétaire d’Hadrien, Suétone disposait des archives impériales pour ses recherches historiques. Archiviste minutieux, lettré probe et austère, il ignore en partie la grande Histoire et la vie de ses Césars ressemble à une suite de douze tableaux indépendants dont chacun correspondrait à une période historique autonome. Servi par un style précis, clair et tranquille, ce livre novateur a introduit dans l’histoire biographique une nouvelle méthode et a inspiré de nombreux historiens jusqu’à nos jours.",9782824905365,,http://books.google.com/books/content?id=z1fVDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fr,2020-03-08,Les Belles Lettres,Biography & Autobiography,Vies des douze Césars /,Vies des douze Césars,13617
"Rémond, Catherine",https://books.google.com/books/about/Surveillance_infirmi%C3%A8re_en_pr%C3%A9_et_post.html?hl=&id=SsrAwAEACAAJ,"Dans cet ouvrage, retrouvez tous les soins infirmiers pré et postopératoires de tous les appareils en un seul volume. En plus des données générales inhérentes à toute chirurgie, sont expliqués les soins communs à tout type d'intervention : les drainages chirurgicaux ; les traitements et l'évaluation de la douleur postopératoire ; la cicatrisation des plaies et les techniques de pansements ; les complications générales de la chirurgie (hémorragies, infections nosocomiales, etc.). Sont exposés, pour chaque type d'intervention : la prise en charge des patients en pré et postopératoire ; les soins et la surveillance clinique ; les complications spécifiques à la pathologie et au type d'intervention ; les techniques de soins ; les conseils et l'éducation aux patients. Très pratique, cet ouvrage propose, gaiement : des fiches techniques essentielles : préparation cutanée de l'opéré, pansement, ablation de fils ou d'agrafes, drainage aspiratif de type Redon et drainage thoracique ; plus de 60 illustrations originales. De la 1e à la 3e année, en stage ou en situation professionnelle dans les services : Surveillance infirmière en pré et postopératoire est votre plus sûr allié pour trois ans d'études et plus !",2757300814,,,fr,2007,Ed Lamarre,salle d'opération--soins infirmiers--[manuel]; chirurgie--soins infirmiers--[manuel],Surveillance infirmière en pré et postopératoire /,Surveillance infirmière en pré et postopératoire,13624
